,Neighborhood,Area,Men,Women,Total,Private households,Average_monthly_income,Men_Proportion,Women_Proportion,Latitude,Longitude,Cluster_Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
23,Jd. das Américas,3.87,6699.0,7267.0,13966.0,3937.0,2304.19,0.47966490047257626,0.5203350995274237,-25.4536246,-49.2305768,0,Brazilian Restaurant,Hot Dog Joint,Italian Restaurant,Pharmacy,Bar,Gym / Fitness Center,Churrascaria,Burger Joint,Café,Fast Food Restaurant
24,Uberaba,14.09,29418.0,30920.0,60338.0,15482.0,952.14,0.48755344890450464,0.5124465510954954,-25.4849252,-49.2153133,4,Bakery,Grocery Store,Pizza Place,Gym / Fitness Center,Flower Shop,Snack Place,Miscellaneous Shop,Supermarket,Chinese Restaurant,Churrascaria
25,Augusta,8.84,1802.0,1815.0,3617.0,995.0,619.54,0.49820293060547416,0.5017970693945258,-25.4743152,-49.3714784,11,Ice Cream Shop,Park,Lake,Empanada Restaurant,Exhibit,Factory,Farm,Farmers Market,Fast Food Restaurant,Fish & Chips Shop
26,Cidade Industrial,43.38,76942.0,80519.0,157461.0,43494.0,639.09,0.48864163189615206,0.5113583681038479,-25.4405151,-49.3506904,0,Pizza Place,Bakery,Burger Joint,Steakhouse,Pharmacy,Market,Video Store,Brazilian Restaurant,Café,Gymnastics Gym
27,Riviera,2.36,100.0,103.0,203.0,62.0,423.13,0.49261083743842365,0.5073891625615764,-25.4366101,-49.3813372,8,Gastropub,Restaurant,Yoga Studio,Fast Food Restaurant,Event Space,Exhibit,Factory,Farm,Farmers Market,Fish & Chips Shop
28,São Miguel,7.0,2512.0,2399.0,4911.0,1247.0,409.43,0.5115047851761352,0.4884952148238648,-25.5027409,-49.3610271,0,Yoga Studio,Fish Market,Exhibit,Factory,Farm,Farmers Market,Fast Food Restaurant,Fish & Chips Shop,Fishing Spot,Cosmetics Shop
29,Água Verde,4.76,22546.0,27320.0,49866.0,17045.0,3332.57,0.4521317129908154,0.5478682870091847,-25.4552633,-49.2828084,0,Brazilian Restaurant,Bar,Gym / Fitness Center,Pizza Place,Gym,Buffet,Burger Joint,Italian Restaurant,Beer Store,Pet Store
30,Campo Comprido,8.55,10264.0,11374.0,21638.0,6649.0,1216.71,0.4743506793603845,0.5256493206396154,-25.4533397,-49.3284321,4,Bakery,Gym,Middle Eastern Restaurant,Beer Store,Brewery,Pizza Place,Deli / Bodega,Department Store,Food Court,Food & Drink Shop
31,Fanny,2.0,3805.0,4061.0,7866.0,2293.0,1189.54,0.4837274345283499,0.5162725654716501,-25.4791996,-49.2661377,4,Bakery,Gym / Fitness Center,Fast Food Restaurant,Gym,Hot Dog Joint,Liquor Store,Soccer Field,Supermarket,Pet Store,Bus Stop
32,Fazendinha,3.72,12751.0,13371.0,26122.0,12071.0,833.84,0.4881326085292091,0.5118673914707909,-25.8790212,-50.5419599,0,Yoga Studio,Fish Market,Exhibit,Factory,Farm,Farmers Market,Fast Food Restaurant,Fish & Chips Shop,Fishing Spot,Cosmetics Shop
33,Guaíra,2.32,6859.0,7409.0,14268.0,4187.0,1235.61,0.4807261003644519,0.519273899635548,-25.4700425,-49.2752424,0,Bakery,Brazilian Restaurant,Pizza Place,Market,Convenience Store,Gym,Steakhouse,Bookstore,Electronics Store,Martial Arts Dojo
34,Lindoia,1.18,4012.0,4331.0,8343.0,2368.0,809.46,0.48088217667505695,0.519117823324943,-25.479004,-49.2776917,4,Hot Dog Joint,Bakery,Gym,Ice Cream Shop,Recording Studio,Electronics Store,Park,Diner,Japanese Restaurant,Convenience Store
35,Novo Mundo,5.99,20628.0,22371.0,42999.0,12917.0,1040.4,0.4797320867927161,0.5202679132072839,-25.4869659,-49.2960629,0,Brazilian Restaurant,Pharmacy,Snack Place,Soccer Field,Burger Joint,Pizza Place,Furniture / Home Store,Gym,Music Venue,Electronics Store
36,Parolin,2.25,5801.0,6181.0,11982.0,3307.0,1365.48,0.4841428809881489,0.5158571190118512,-25.4599763,-49.2637669,0,Brazilian Restaurant,Restaurant,Tennis Court,Gym / Fitness Center,Pet Store,Sandwich Place,Rental Car Location,Bus Stop,Electronics Store,Fast Food Restaurant
37,Portão,5.7,19092.0,21643.0,40735.0,13183.0,1722.89,0.4686878605621701,0.5313121394378298,-25.4737001,-49.302414,0,Pizza Place,Dance Studio,Bar,Bakery,Restaurant,Theater,Gym / Fitness Center,Big Box Store,Furniture / Home Store,Steakhouse
38,Santa Quitéria,2.09,5532.0,6188.0,11720.0,3407.0,1487.95,0.4720136518771331,0.5279863481228669,-25.462602,-49.3109435,4,Bakery,Soccer Field,BBQ Joint,Food,Pet Store,Smoke Shop,Business Service,Food Truck,Brazilian Restaurant,Farmers Market
39,Vila Izabel,1.21,4993.0,5956.0,10949.0,751.0,2438.13,0.45602338113069685,0.5439766188693032,-25.4563261,-49.2939793,0,Pizza Place,Brazilian Restaurant,Japanese Restaurant,Bakery,Gym / Fitness Center,Butcher,Churrascaria,Burger Joint,Paper / Office Supplies Store,Fast Food Restaurant
40,Ahú,1.84,5117.0,6031.0,11148.0,3608.0,2827.81,0.4590060997488339,0.5409939002511661,-25.3998414,-49.2619428,0,Restaurant,Pizza Place,Gym / Fitness Center,Italian Restaurant,Pet Store,Pharmacy,Fried Chicken Joint,Café,Steakhouse,BBQ Joint
41,Alto da Glória,0.88,2513.0,3075.0,5588.0,2125.0,3263.47,0.44971367215461705,0.550286327845383,-25.4194476,-49.2621486,0,Brazilian Restaurant,Café,Pizza Place,Buffet,Bar,Restaurant,Pharmacy,Italian Restaurant,Asian Restaurant,Beer Bar
42,Alto da XV,1.5,3835.0,4848.0,8683.0,3084.0,2612.08,0.4416676263964068,0.5583323736035932,-25.428019,-49.2593998,0,Brazilian Restaurant,Coffee Shop,Theater,Snack Place,Café,Middle Eastern Restaurant,Chinese Restaurant,Restaurant,Bistro,Soccer Stadium
43,Batel,1.76,5126.0,6652.0,11778.0,3938.0,5120.73,0.43521820343012396,0.564781796569876,-25.4387449,-49.287052,0,Coffee Shop,Bar,Burger Joint,Gastropub,Pizza Place,Hotel,French Restaurant,Gym / Fitness Center,Café,Ice Cream Shop
44,Bigorrilho,3.5,12359.0,14768.0,27127.0,9937.0,3792.68,0.4555977439451469,0.5444022560548532,-25.4339089,-49.2994023,0,Café,Pet Store,Italian Restaurant,Gym,Bakery,Furniture / Home Store,Dessert Shop,Gym / Fitness Center,Pharmacy,BBQ Joint
45,Bom Retiro,1.94,2586.0,3047.0,5633.0,1780.0,2132.75,0.45908041895970175,0.5409195810402982,-25.4088016,-49.2775763,0,Bar,Pharmacy,Brazilian Restaurant,Shoe Store,Gym / Fitness Center,Restaurant,Pizza Place,Café,Middle Eastern Restaurant,Hotel
46,Cabral,2.04,5815.0,5905.0,11720.0,3774.0,3914.15,0.496160409556314,0.503839590443686,-25.4074203,-49.2515182,0,Gym / Fitness Center,Bakery,Pizza Place,Pharmacy,Ice Cream Shop,Café,Restaurant,Movie Theater,Brazilian Restaurant,Salon / Barbershop
47,Centro,3.3,13961.0,18662.0,32623.0,14576.0,2221.51,0.4279496061061214,0.5720503938938786,-25.4312608,-49.2712771,0,Hotel,Middle Eastern Restaurant,Snack Place,Theater,Brazilian Restaurant,Café,Pizza Place,Burger Joint,Coffee Shop,Hostel
48,Centro Cívico,0.97,2029.0,2738.0,4767.0,1958.0,2878.11,0.42563457100902036,0.5743654289909796,-25.4143755,-49.2683269,0,Brazilian Restaurant,Café,Buffet,Hotel,Pizza Place,Italian Restaurant,Restaurant,Asian Restaurant,Gym / Fitness Center,Chinese Restaurant
49,Cristo Rei,1.46,6147.0,7178.0,13325.0,5128.0,2603.13,0.46131332082551596,0.5386866791744841,-25.4336461,-49.2445794,0,Brazilian Restaurant,Restaurant,Pizza Place,Buffet,Bakery,Café,Pet Store,Pharmacy,Deli / Bodega,Bar
50,Hugo Lange,1.15,1443.0,1724.0,3167.0,1010.0,3119.76,0.45563624881591414,0.5443637511840859,-25.4199794,-49.2462298,0,Italian Restaurant,Dessert Shop,Bar,Pizza Place,Gym / Fitness Center,BBQ Joint,Restaurant,Farmers Market,Pharmacy,Wine Bar
51,Jardim Botânico,2.77,2813.0,3340.0,6153.0,1980.0,1885.75,0.45717536161222166,0.5428246383877783,-25.4407956,-49.2453133,0,Café,Buffet,Restaurant,Botanical Garden,Snack Place,Italian Restaurant,Hobby Shop,Chinese Restaurant,Bakery,Burger Joint
52,Jardim Social,1.89,2893.0,3192.0,6085.0,1674.0,4606.6,0.47543138866064094,0.5245686113393591,-25.4196583,-49.234537,0,Plaza,Yoga Studio,Gym / Fitness Center,Bridal Shop,Chocolate Shop,Supermarket,Martial Arts Dojo,Gastropub,Bakery,Restaurant
53,Juvevê,1.23,4995.0,6286.0,11281.0,3994.0,3435.48,0.44277989539934404,0.557220104600656,-25.4160133,-49.2544262,0,Italian Restaurant,Pizza Place,Bar,Dessert Shop,Pharmacy,Hot Dog Joint,Middle Eastern Restaurant,Bakery,Pet Store,Chocolate Shop
54,Mercês,3.28,6315.0,7774.0,14089.0,4681.0,2475.33,0.4482220171765207,0.5517779828234793,-25.4246085,-49.2905022,0,Pizza Place,Brazilian Restaurant,Pharmacy,Restaurant,Gym,Dessert Shop,Middle Eastern Restaurant,Pet Store,Café,Farmers Market
55,Prado Velho,2.43,3506.0,3578.0,7084.0,1854.0,766.57,0.49491812535290797,0.5050818746470921,-25.4533706,-49.2544113,0,Brazilian Restaurant,Bar,Café,Restaurant,College Cafeteria,Rental Car Location,Theater,Nightclub,Sandwich Place,Southern Brazilian Restaurant
56,Rebouças,2.98,7136.0,8482.0,15618.0,5813.0,2180.47,0.4569086950954027,0.5430913049045972,-25.4444772,-49.2646681,0,Bakery,Brazilian Restaurant,Bar,Coffee Shop,Gym,Farmers Market,Chocolate Shop,Snack Place,Event Space,Bookstore
57,São Francisco,1.36,2863.0,3572.0,6435.0,2198.0,2309.05,0.4449106449106449,0.5550893550893551,-25.4237543,-49.2770883,0,Bar,Brazilian Restaurant,Theater,Ice Cream Shop,Hostel,Cosmetics Shop,Burger Joint,Jewelry Store,Pizza Place,Arts & Entertainment
58,Campo de Santana,21.57,3696.0,3639.0,7335.0,1961.0,564.95,0.5038854805725972,0.49611451942740287,-25.6003501,-49.33376,0,Yoga Studio,Fish Market,Exhibit,Factory,Farm,Farmers Market,Fast Food Restaurant,Fish & Chips Shop,Fishing Spot,Cosmetics Shop
59,Capão Raso,5.06,16586.0,17790.0,34376.0,10320.0,977.19,0.4824877821736095,0.5175122178263905,-25.504632,-49.2985781,4,Bakery,Pharmacy,BBQ Joint,Smoke Shop,Butcher,Food Truck,Brazilian Restaurant,Shoe Store,Steakhouse,Nail Salon
60,Caximba,8.17,1252.0,1223.0,2475.0,631.0,525.34,0.5058585858585859,0.49414141414141416,-25.6208968,-49.347262,2,Church,Concert Hall,Yoga Studio,Fish & Chips Shop,Exhibit,Factory,Farm,Farmers Market,Fast Food Restaurant,Fish Market
61,Pinheirinho,10.73,13358.0,14549.0,27907.0,13839.0,707.3,0.47866126778227686,0.5213387322177232,-25.5228792,-49.2904118,0,BBQ Joint,Restaurant,Fast Food Restaurant,Deli / Bodega,Grocery Store,Gym,Snack Place,Hardware Store,Brazilian Restaurant,Pharmacy
62,Tatuquara,11.23,18134.0,18205.0,36339.0,9525.0,462.26,0.49902308814221635,0.5009769118577837,-25.5624694,-49.3215965,1,Pub,Pool,Fish & Chips Shop,Event Space,Exhibit,Factory,Farm,Farmers Market,Fast Food Restaurant,Fish Market
63,Butiatuvinha,10.58,5311.0,5448.0,10759.0,2948.0,1135.7,0.4936332372897109,0.506366762710289,-25.4001938,-49.3562253,4,Pool,Park,Bar,Bakery,Cupcake Shop,Dance Studio,Food & Drink Shop,Food,Fondue Restaurant,Flower Shop
64,Campina do Siqueira,1.69,3379.0,3729.0,7108.0,2238.0,1903.78,0.4753798536859876,0.5246201463140123,-25.4387255,-49.3087222,0,Brazilian Restaurant,Pizza Place,Bakery,Supermarket,Department Store,Motorcycle Shop,Restaurant,Japanese Restaurant,Pet Store,Café
66,Cascatinha,2.57,994.0,1067.0,2061.0,586.0,2198.43,0.4822901504124212,0.5177098495875788,-25.4152363,-49.3105765,9,Furniture / Home Store,Italian Restaurant,Flower Shop,Churrascaria,Pizza Place,Event Space,Candy Store,Yoga Studio,Fast Food Restaurant,Factory
67,Lamenha Pequena,3.4,353.0,348.0,701.0,188.0,665.99,0.5035663338088445,0.4964336661911555,-25.3660645,-49.3386627,3,Social Club,Yoga Studio,Fish & Chips Shop,Event Space,Exhibit,Factory,Farm,Farmers Market,Fast Food Restaurant,Fish Market
68,Mossunguê,3.38,2751.0,2877.0,5628.0,1586.0,2965.09,0.48880597014925375,0.5111940298507462,-25.4347057,-49.330387,0,Motel,Pharmacy,Bakery,Organic Grocery,Park,Factory,Beer Garden,Furniture / Home Store,Gourmet Shop,Restaurant
69,Orleans,5.12,3502.0,3758.0,7260.0,2077.0,1277.22,0.4823691460055096,0.5176308539944904,-25.4284385,-49.3575305,0,Pizza Place,Gym / Fitness Center,Brazilian Restaurant,Pharmacy,Convenience Store,Food Truck,Steakhouse,Furniture / Home Store,Burger Joint,Bar
70,Santa Felicidade,12.27,12157.0,13052.0,25209.0,7202.0,1314.67,0.4822484033480106,0.5177515966519893,-25.4026959,-49.3285775,0,Italian Restaurant,Ice Cream Shop,Bakery,Café,Bar,Farmers Market,Restaurant,Seafood Restaurant,Furniture / Home Store,Fast Food Restaurant
71,Santo Inácio,2.72,2940.0,3097.0,6037.0,1683.0,1518.26,0.48699685274142784,0.5130031472585721,-25.4252057,-49.3285776,4,Bakery,General Entertainment,Organic Grocery,Factory,Bar,Flower Shop,Flea Market,Fishing Spot,Fish Market,Food Truck
72,São Braz,5.01,11163.0,11956.0,23119.0,6600.0,1206.5,0.48284960422163586,0.5171503957783641,-25.4182261,-49.350834,0,Pizza Place,Gym / Fitness Center,Furniture / Home Store,Steakhouse,Gym,Sandwich Place,Big Box Store,Snack Place,Breakfast Spot,Recreation Center
73,São João,3.03,1441.0,1509.0,2950.0,814.0,1166.03,0.48847457627118646,0.5115254237288136,-25.3914534,-49.3114794,10,Fishing Spot,Playground,Border Crossing,Track,Athletics & Sports,Fish & Chips Shop,Factory,Farm,Farmers Market,Fast Food Restaurant
74,Seminário,2.13,3350.0,4045.0,7395.0,2243.0,3210.65,0.4530087897227857,0.5469912102772143,-25.4489103,-49.3051474,0,Bar,Pharmacy,Burger Joint,Pet Store,Pizza Place,Paper / Office Supplies Store,Churrascaria,Buffet,Bakery,Brazilian Restaurant
75,Vista Alegre,3.69,4735.0,5195.0,9930.0,2855.0,2079.83,0.4768378650553877,0.5231621349446123,-25.4067665,-49.2955782,4,Pizza Place,Bakery,Brazilian Restaurant,Grocery Store,Tennis Court,Park,Southern Brazilian Restaurant,Furniture / Home Store,Strip Club,BBQ Joint
